ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
5988306,HN776442,12/24/2007 07:00:00 PM,025XX S SACRAMENTO AVE,460,BATTERY,SIMPLE,STREET,false,false,1033,10,12,30,08B,1156761,1887172,2007,02/28/2018 03:56:25 PM,41.846174416,-87.700188806,"(41.846174416, -87.700188806)"
5988308,HN784135,12/29/2007 10:26:34 PM,113XX S BISHOP ST,454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,true,false,2234,22,34,75,08B,1168591,1829337,2007,02/28/2018 03:56:25 PM,41.68722018,-87.658438927,"(41.68722018, -87.658438927)"
5988309,HN783559,12/29/2007 03:00:00 PM,029XX W FULTON ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,1331,12,27,27,5,1156727,1901866,2007,02/28/2018 03:56:25 PM,41.886496975,-87.699915689,"(41.886496975, -87.699915689)"
5988310,HN783774,12/29/2007 04:00:00 PM,078XX S COLES AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,421,4,7,43,5,1197407,1853828,2007,02/28/2018 03:56:25 PM,41.75375771,-87.552135344,"(41.75375771, -87.552135344)"
5988311,HN783646,12/29/2007 12:15:00 PM,116XX S CENTRAL PARK AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2211,22,19,74,08B,1154479,1826953,2007,02/28/2018 03:56:25 PM,41.68096979,-87.710164708,"(41.68096979, -87.710164708)"
5988312,HN783708,12/29/2007 05:00:00 PM,025XX W PETERSON AVE,810,THEFT,OVER $500,OTHER,false,false,2011,20,40,2,6,1158121,1939768,2007,02/28/2018 03:56:25 PM,41.990474245,-87.69375814,"(41.990474245, -87.69375814)"
5988314,HN782927,12/29/2007 07:57:07 AM,050XX W MADISON ST,560,ASSAULT,SIMPLE,RESTAURANT,false,false,1533,15,28,25,08A,1142843,1899555,2007,02/28/2018 03:56:25 PM,41.880425216,-87.750959284,"(41.880425216, -87.750959284)"
5988315,HN783827,12/29/2007 06:50:00 PM,004XX W 97TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2223,22,21,73,18,1175035,1840582,2007,02/28/2018 03:56:25 PM,41.71793715,-87.634514293,"(41.71793715, -87.634514293)"
5988317,HN783615,12/29/2007 03:59:54 PM,013XX W 108TH PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2234,22,34,75,18,1169329,1832815,2007,02/28/2018 03:56:25 PM,41.696748483,-87.655637029,"(41.696748483, -87.655637029)"
5988318,HN783390,12/27/2007 02:00:00 PM,036XX N LINCOLN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA PLATFORM,false,false,1923,19,47,5,11,1163614,1924079,2007,02/28/2018 03:56:25 PM,41.947308638,-87.673997809,"(41.947308638, -87.673997809)"
